words/phrases ,phonetic symbol,Example sentence,explanations,similar
tar·di·ness,/ˈtɑːdɪnəs/,"1. I would like to blame them for my occasional tardiness.
2. I'm sorry for my tardiness",[n] the quality or fact of being late; lateness,lateness; delay
i·ro·ny,/ˈʌɪrəni/,1. the irony is that I thought he could help me.,"[n] the expression of one's meaning by using language that normally signifies the opposite, typically for humorous or emphatic effect.
[adj] of or like iron.",sarcasm
